NÂ°,conditions,links
1,clear,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/rustig_koppie_puresky_4k.exr
2,fair,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/rustig_koppie_puresky_4k.exr
3,cloudy,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_01_puresky_4k.exr
4,overcast,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_01_puresky_4k.exr
5,fog,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_04_4k.exr
6,freezing_fog,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_04_4k.exr
7,light_rain,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/shudu_lake_4k.exr
8,rain,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/shudu_lake_4k.exr
9,heavy_rain,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/shudu_lake_4k.exr
10,freezing_rain,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/shudu_lake_4k.exr
11,heavy_freezing_rain,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/shudu_lake_4k.exr
12,sleet,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
13,heavy_sleet,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
14,light_snowfall,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
15,snowfall,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
16,heavy_snowfall,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
17,rain_shower,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/shudu_lake_4k.exr
18,heavy_rain_shower,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/shudu_lake_4k.exr
19,sleet_shower,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
20,heavy_sleet_shower,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
21,snow_shower,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
22,heavy_snow_shower,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/snow_field_2_4k.exr
23,lightening,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_07_puresky_4k.exr
24,hail,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_07_puresky_4k.exr
25,thunderstorm,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_07_puresky_4k.exr
26,heavy_thunderstorm,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_07_puresky_4k.exr
27,storm,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/4k/kloppenheim_07_puresky_4k.exr